Diffusion Energy,Rotation Energy,Coupling Energy,Averaged Neighbour Frequency,Average Radius,Standard Dev Radius,Average Radius of Gyration,Standard Dev ROG
0.5,0.6,0.4,{},nan,nan,nan,nan
0.5,0.6,0.5750000000000001,{},nan,nan,nan,nan
0.5,0.6,0.75,{},nan,nan,nan,nan
0.5,0.6,0.925,{},nan,nan,nan,nan
0.5,0.6,1.1,{},nan,nan,nan,nan
0.5,0.825,0.4,{},nan,nan,nan,nan
0.5,0.825,0.5750000000000001,{},nan,nan,nan,nan
0.5,0.825,0.75,{},nan,nan,nan,nan
0.5,0.825,0.925,{},nan,nan,nan,nan
0.5,0.825,1.1,{},nan,nan,nan,nan
0.5,1.05,0.4,{},nan,nan,nan,nan
0.5,1.05,0.5750000000000001,{},nan,nan,nan,nan
0.5,1.05,0.75,{},nan,nan,nan,nan
0.5,1.05,0.925,{},nan,nan,nan,nan
0.5,1.05,1.1,{},nan,nan,nan,nan
0.5,1.275,0.4,{},nan,nan,nan,nan
0.5,1.275,0.5750000000000001,{},nan,nan,nan,nan
0.5,1.275,0.75,{},nan,nan,nan,nan
0.5,1.275,0.925,{},nan,nan,nan,nan
0.5,1.275,1.1,{},nan,nan,nan,nan
0.5,1.5,0.4,{},nan,nan,nan,nan
0.5,1.5,0.5750000000000001,{},nan,nan,nan,nan
0.5,1.5,0.75,{},nan,nan,nan,nan
0.5,1.5,0.925,{},nan,nan,nan,nan
0.5,1.5,1.1,{},nan,nan,nan,nan
0.675,0.6,0.4,{},nan,nan,nan,nan
0.675,0.6,0.5750000000000001,{},nan,nan,nan,nan
0.675,0.6,0.75,{},nan,nan,nan,nan
0.675,0.6,0.925,{},nan,nan,nan,nan
0.675,0.6,1.1,{},nan,nan,nan,nan
0.675,0.825,0.4,{},nan,nan,nan,nan
0.675,0.825,0.5750000000000001,{},nan,nan,nan,nan
0.675,0.825,0.75,{},nan,nan,nan,nan
0.675,0.825,0.925,{},nan,nan,nan,nan
0.675,0.825,1.1,{},nan,nan,nan,nan
0.675,1.05,0.4,{},nan,nan,nan,nan
0.675,1.05,0.5750000000000001,{},nan,nan,nan,nan
0.675,1.05,0.75,{},nan,nan,nan,nan
0.675,1.05,0.925,{},nan,nan,nan,nan
0.675,1.05,1.1,{},nan,nan,nan,nan
0.675,1.275,0.4,{},nan,nan,nan,nan
0.675,1.275,0.5750000000000001,{},nan,nan,nan,nan
0.675,1.275,0.75,{},nan,nan,nan,nan
0.675,1.275,0.925,{},nan,nan,nan,nan
0.675,1.275,1.1,{},nan,nan,nan,nan
0.675,1.5,0.4,{},nan,nan,nan,nan
0.675,1.5,0.5750000000000001,{},nan,nan,nan,nan
0.675,1.5,0.75,{},nan,nan,nan,nan
0.675,1.5,0.925,{},nan,nan,nan,nan
0.675,1.5,1.1,{},nan,nan,nan,nan
0.85,0.6,0.4,{},nan,nan,nan,nan
0.85,0.6,0.5750000000000001,{},nan,nan,nan,nan
0.85,0.6,0.75,{},nan,nan,nan,nan
0.85,0.6,0.925,{},nan,nan,nan,nan
0.85,0.6,1.1,{},nan,nan,nan,nan
0.85,0.825,0.4,{},nan,nan,nan,nan
0.85,0.825,0.5750000000000001,{},nan,nan,nan,nan
