Diffusion Energy,Rotation Energy,Coupling Energy,Dehalogenation Energy,Averaged Neighbour Frequency,Average Radius,Standard Dev Radius,Average Radius of Gyration,Standard Dev ROG
0.0,0,0.0,0.0,"{3: 24.0, 2: 14.0, 1: 10.0}",7.056690088136222,0.0,1.018545480493303,0.0
0.0,0,0.0,0.5,"{3: 18.0, 2: 20.0, 1: 10.0}",7.829204363932662,0.0,1.1300483117642788,0.0
0.0,0,0.0,1.0,"{3: 21.0, 2: 18.0, 1: 9.0}",6.8113849750089575,0.0,0.9831387372188986,0.0
0.0,0,0.5,0.0,"{3: 21.0, 2: 18.0, 1: 9.0}",6.900929637455458,0.0,0.9960633959608939,0.0
0.0,0,0.5,0.5,"{3: 24.0, 2: 16.0, 1: 8.0}",6.649163220118587,0.0,0.9597240437553063,0.0
0.0,0,0.5,1.0,"{3: 23.0, 2: 18.0, 1: 7.0}",6.799650215676948,0.0,0.9814449706040957,0.0
0.0,0,1.0,0.0,"{3: 20.0, 2: 22.0, 1: 6.0}",8.212535937685617,0.0,1.1853774585880668,0.0
0.0,0,1.0,0.5,"{3: 23.0, 2: 16.0, 1: 9.0}",7.116192168022321,0.0,1.0271338659531986,0.0
0.0,0,1.0,1.0,"{2: 14.0, 3: 22.0, 1: 12.0}",6.766440882932638,0.0,0.976651616304212,0.0
0.5,0,0.0,0.0,"{3: 24.0, 2: 16.0, 1: 8.0}",6.848655332334305,0.0,0.9885182499275442,0.0
0.5,0,0.0,0.5,"{3: 23.0, 2: 18.0, 1: 7.0}",7.199748018352987,0.0,1.039194114123393,0.0
0.5,0,0.0,1.0,"{3: 22.0, 2: 18.0, 1: 8.0}",7.435807463812447,0.0,1.0732663602185861,0.0
0.5,0,0.5,0.0,"{3: 18.0, 2: 18.0, 1: 12.0}",7.822105206471663,0.0,1.1290236366464972,0.0
0.5,0,0.5,0.5,"{3: 24.0, 2: 16.0, 1: 8.0}",6.388737920921645,0.0,0.9221348896065205,0.0
0.5,0,0.5,1.0,"{2: 18.0, 3: 23.0, 1: 7.0}",6.921935744027421,0.0,0.9990953662818811,0.0
0.5,0,1.0,0.0,"{3: 22.0, 2: 20.0, 1: 6.0}",7.0781230837623115,0.0,1.0216390669418687,0.0
0.5,0,1.0,0.5,"{3: 24.0, 1: 8.0, 2: 16.0}",7.06210052950883,0.0,1.0193264104390305,0.0
0.5,0,1.0,1.0,"{3: 22.0, 2: 18.0, 1: 8.0}",7.031149690642507,0.0,1.0148590416512513,0.0
1.0,0,0.0,0.0,"{3: 18.0, 2: 20.0, 1: 10.0}",7.499074016911095,0.0,1.0823981005841372,0.0
1.0,0,0.0,0.5,"{3: 20.0, 2: 20.0, 1: 8.0}",7.357175965983445,0.0,1.0619168811089967,0.0
1.0,0,0.0,1.0,"{3: 24.0, 2: 16.0, 1: 8.0}",6.697681761044057,0.0,0.9667270919213083,0.0
1.0,0,0.5,0.0,"{3: 26.0, 2: 16.0, 1: 6.0}",6.349759400516247,0.0,0.9165088247943531,0.0
1.0,0,0.5,0.5,"{3: 24.0, 2: 14.0, 1: 10.0}",6.798277712855743,0.0,0.9812468668857742,0.0
1.0,0,0.5,1.0,"{3: 17.0, 2: 20.0, 1: 11.0}",7.453909302432442,0.0,1.0758791355686066,0.0
1.0,0,1.0,0.0,"{3: 24.0, 2: 18.0, 1: 6.0}",6.968929058486836,0.0,1.0058782669701951,0.0
1.0,0,1.0,0.5,"{3: 26.0, 2: 16.0, 1: 6.0}",6.445686542176869,0.0,0.9303547150594409,0.0
1.0,0,1.0,1.0,"{2: 20.0, 3: 21.0, 1: 7.0}",6.900772400407234,0.0,0.9960407007478642,0.0
