Diffusion Energy,Rotation Energy,Coupling Energy,Dehalogenation Energy,Averaged Neighbour Frequency,Average Radius,Standard Dev Radius,Average Radius of Gyration,Standard Dev ROG
0.0,0,0.0,0.0,"{3: 25.333333333333332, 2: 14.0, 1: 8.666666666666666}",6.579162531646915,0.060686754513240765,0.9496203146721617,0.00875937851361606
0.0,0,0.0,0.375,"{3: 24.666666666666668, 2: 16.0, 1: 7.333333333333333}",6.828287359210105,0.3233055246569577,0.9855783862360182,0.04666513292279691
0.0,0,0.0,0.75,"{3: 24.333333333333332, 2: 16.0, 1: 7.666666666666667}",6.781568221848139,0.3024824736475287,0.9788350596029587,0.04365958439638617
0.0,0,0.0,1.125,"{3: 23.666666666666668, 2: 15.333333333333334, 1: 9.0}",6.588407122718171,0.16318704373321116,0.9509546564580461,0.023554020906907187
0.0,0,0.0,1.5,"{3: 21.0, 1: 9.0, 2: 18.0}",7.410267649695366,0.6017426688443681,1.069580005579699,0.08685407296004498
0.0,0,0.375,0.0,"{3: 23.666666666666668, 2: 14.666666666666666, 1: 9.666666666666666}",6.78089331888285,0.3462526397336531,0.9787376457507871,0.04997726368946079
0.0,0,0.375,0.375,"{3: 22.0, 2: 17.333333333333332, 1: 8.666666666666666}",7.2379784146728126,0.46644533067467503,1.0447121965250121,0.06732558430681691
0.0,0,0.375,0.75,"{3: 18.0, 2: 20.666666666666668, 1: 9.333333333333334}",7.817223773370451,0.31173012606465256,1.128319062467743,0.044994368049485804
0.0,0,0.375,1.125,"{3: 24.333333333333332, 2: 16.0, 1: 7.666666666666667}",6.831590071343157,0.3783902488951344,0.9860550916707869,0.054615928014583856
0.0,0,0.375,1.5,"{3: 22.333333333333332, 2: 17.333333333333332, 1: 8.333333333333334}",6.670523699184346,0.06413718593762197,0.962807163339965,0.009257405391537778
0.0,0,0.75,0.0,"{3: 23.666666666666668, 2: 16.0, 1: 8.333333333333334}",6.647960050534259,0.1253369156571918,0.9595503811844582,0.01809082549851925
0.0,0,0.75,0.375,"{3: 24.0, 2: 14.666666666666666, 1: 9.333333333333334}",7.034917516508686,0.2675209905104811,1.015402880470776,0.03861332897127539
0.0,0,0.75,0.75,"{3: 23.333333333333332, 2: 16.0, 1: 8.666666666666666}",7.251334584367853,0.1663322622843548,1.0466399935672057,0.024007994101197975
0.0,0,0.75,1.125,"{3: 19.333333333333332, 2: 18.0, 1: 10.666666666666666}",7.752065939497449,0.512098138072074,1.1189143392361451,0.07391499946685452
0.0,0,0.75,1.5,"{3: 22.666666666666668, 2: 15.333333333333334, 1: 10.0}",7.238142056872062,0.40190493129486843,1.0447358162419593,0.058009980067932544
0.0,0,1.125,0.0,"{3: 19.0, 2: 20.666666666666668, 1: 8.333333333333334}",7.715781758675281,0.6491750824538719,1.1136771688448943,0.09370035215148508
0.0,0,1.125,0.375,"{3: 23.666666666666668, 2: 16.0, 1: 8.333333333333334}",6.810821307574295,0.26022855978737863,0.9830573788326147,0.03756075726101796
0.0,0,1.125,0.75,"{3: 23.0, 2: 17.333333333333332, 1: 7.666666666666667}",6.79388984706063,0.060423702172876875,0.9806135330112801,0.00872141017873608
0.0,0,1.125,1.125,"{3: 23.0, 2: 18.0, 1: 7.0}",6.7883086194876086,0.16632012171272179,0.979807952200857,0.02400624176062285
0.0,0,1.125,1.5,"{3: 23.0, 2: 16.666666666666668, 1: 8.333333333333334}",7.0456090903788455,0.1340050759702568,1.0169460762337752,0.01934196667105101
0.0,0,1.5,0.0,"{3: 23.666666666666668, 2: 17.333333333333332, 1: 7.0}",6.8017278724235695,0.43529102169746514,0.9817448545245822,0.06282884713821471
0.0,0,1.5,0.375,"{3: 24.666666666666668, 2: 14.0, 1: 9.333333333333334}",6.80481832954847,0.062524454389605,0.9821909235878272,0.009024627643193225
0.0,0,1.5,0.75,"{3: 24.666666666666668, 1: 9.333333333333334, 2: 14.0}",6.91534632013368,0.5313159278679305,0.9981442648671672,0.07668884849482135
0.0,0,1.5,1.125,"{3: 22.0, 2: 16.666666666666668, 1: 9.333333333333334}",7.620595759639696,0.40345514645187475,1.099938253303325,0.0582337343524824
0.0,0,1.5,1.5,"{2: 16.0, 3: 21.0, 1: 11.0}",7.499167049056356,0.21292018582692723,1.0824115286176648,0.030732381650770364
0.375,0,0.0,0.0,"{3: 19.333333333333332, 2: 20.0, 1: 8.666666666666666}",7.619012006862255,0.6464977030350056,1.0997096582802284,0.09331390571943382
0.375,0,0.0,0.375,"{2: 19.333333333333332, 3: 19.0, 1: 9.666666666666666}",7.840406060902574,0.7297381406133813,1.1316651374545188,0.10532862798026818
0.375,0,0.0,0.75,"{3: 21.0, 2: 18.0, 1: 9.0}",7.943996002884174,0.11841138526451625,1.1466170576766224,0.01709121128939618
0.375,0,0.0,1.125,"{3: 21.666666666666668, 2: 18.0, 1: 8.333333333333334}",7.139994420928008,0.6024347149555604,1.030569425233803,0.08695396121219211
0.375,0,0.0,1.5,"{3: 19.0, 2: 20.0, 1: 9.0}",7.231693383304459,0.07458014990201521,1.0438050303869162,0.010764717405532764
0.375,0,0.375,0.0,"{3: 20.0, 2: 17.333333333333332, 1: 10.666666666666666}",7.50038797521362,0.7357612201813818,1.0825877541290538,0.1061979846327521
0.375,0,0.375,0.375,"{3: 25.333333333333332, 2: 12.666666666666666, 1: 10.0}",6.697997906329069,0.22429409958288368,0.9667727235626596,0.03237406469295565
0.375,0,0.375,0.75,"{3: 21.666666666666668, 2: 17.333333333333332, 1: 9.0}",7.244017164420896,0.13305977945566164,1.0455838149731684,0.01920552487175967
0.375,0,0.375,1.125,"{3: 22.333333333333332, 2: 18.0, 1: 7.666666666666667}",7.289642873315139,0.016882543248714577,1.0521693188011831,0.0024367852223126764
0.375,0,0.375,1.5,"{3: 22.333333333333332, 2: 16.666666666666668, 1: 9.0}",7.66804036211969,0.8135140767383696,1.1067862918066795,0.11742064279861192
0.375,0,0.75,0.0,"{3: 21.333333333333332, 2: 18.0, 1: 8.666666666666666}",7.162639224724117,0.21139918216794581,1.0338379211256603,0.030512843682782623
0.375,0,0.75,0.375,"{3: 23.666666666666668, 2: 16.0, 1: 8.333333333333334}",6.8350988652920615,0.1868039718673005,0.9865615424535195,0.026962830860819333
0.375,0,0.75,0.75,"{3: 20.333333333333332, 2: 17.333333333333332, 1: 10.333333333333334}",7.133647459353521,0.14865473828510462,1.0296533202404115,0.021456463291304583
0.375,0,0.75,1.125,"{2: 14.0, 3: 23.0, 1: 11.0}",7.215556466653777,0.39908543206487146,1.041475867093876,0.057603020408077896
0.375,0,0.75,1.5,"{3: 22.333333333333332, 2: 14.666666666666666, 1: 11.0}",6.987722797903061,0.2520168785482683,1.0085909095979544,0.03637550316754301
0.375,0,1.125,0.0,"{3: 21.666666666666668, 2: 17.0, 1: 9.333333333333334}",7.610236340575473,0.4650239617792529,1.0984429999569807,0.06712042737821951
0.375,0,1.125,0.375,"{3: 18.333333333333332, 2: 19.333333333333332, 1: 10.333333333333334}",7.168259005319265,0.24861488378017615,1.0346490665855093,0.0358844675187581
0.375,0,1.125,0.75,"{3: 19.666666666666668, 2: 19.0, 1: 9.333333333333334}",6.956232056221182,0.19472779291654674,1.004045612551201,0.028106535914767458
0.375,0,1.125,1.125,"{3: 19.0, 2: 19.333333333333332, 1: 9.666666666666666}",7.208135016114421,0.1774961048669674,1.0404046729772072,0.025619355981263442
0.375,0,1.125,1.5,"{3: 20.666666666666668, 2: 18.0, 1: 9.333333333333334}",7.287334903962289,0.09809527347499239,1.0518361921193957,0.014158833136754236
0.375,0,1.5,0.0,"{3: 23.666666666666668, 2: 14.666666666666666, 1: 9.666666666666666}",6.88512516620796,0.2758602895552656,0.9937822170286083,0.039817003108365216
0.375,0,1.5,0.375,"{3: 19.666666666666668, 2: 20.333333333333332, 1: 8.0}",7.141532533547381,0.38031008068351735,1.0307914326675127,0.05489303186453926
0.375,0,1.5,0.75,"{3: 21.333333333333332, 2: 17.333333333333332, 1: 9.333333333333334}",7.547318940030233,0.5225659739119533,1.0893616554216041,0.07542590142685131
0.375,0,1.5,1.125,"{3: 21.333333333333332, 2: 18.0, 1: 8.666666666666666}",7.233956385622584,0.40898758446142447,1.0441316666363027,0.059032272996004526
0.375,0,1.5,1.5,"{3: 24.0, 2: 14.666666666666666, 1: 9.333333333333334}",7.064629755874577,0.3287524473989053,1.019691472819807,0.04745132850062657
